iter	Passed	Remaining
0	70	70338
1	72	36102
2	74	24792
3	76	19050
4	78	15576
5	79	13228
6	81	11564
7	83	10293
8	84	9330
9	88	8714
10	90	8169
11	93	7705
12	97	7383
13	99	7004
14	102	6714
15	104	6417
16	106	6144
17	107	5889
18	109	5652
19	111	5487
20	113	5310
21	116	5169
22	120	5108
23	122	4975
24	124	4858
25	126	4726
26	127	4601
27	129	4486
28	130	4381
29	132	4290
30	134	4203
31	136	4118
32	139	4093
33	141	4022
34	143	3964
35	146	3915
36	149	3878
37	152	3868
38	154	3812
39	156	3759
40	158	3707
41	160	3654
42	164	3668
43	171	3730
44	182	3866
45	185	3838
46	187	3796
47	189	3754
48	191	3713
49	193	3679
50	195	3644
51	198	3624
52	201	3596
53	204	3577
54	209	3606
55	213	3605
56	215	3573
57	218	3549
58	223	3560
59	226	3549
60	228	3525
61	238	3610
62	241	3594
63	243	3567
64	245	3531
65	250	3538
66	251	3508
67	254	3486
68	256	3456
69	258	3433
70	260	3404
71	272	3518
72	277	3517
73	283	3553
74	286	3530
75	288	3503
76	294	3530
77	297	3520
78	299	3490
79	301	3468
80	303	3445
81	306	3426
82	308	3408
83	310	3386
84	312	3367
85	314	3343
86	316	3321
87	318	3299
88	326	3344
89	329	3331
90	331	3308
91	333	3287
92	338	3297
93	340	3277
94	342	3261
95	344	3242
96	346	3224
97	348	3204
98	354	3223
99	356	3208
100	358	3189
101	360	3173
102	362	3153
103	363	3135
104	367	3134
105	371	3133
106	373	3117
107	375	3097
108	377	3082
109	383	3106
110	387	3103
111	389	3091
112	392	3079
113	401	3121
114	405	3123
115	407	3108
116	416	3139
117	418	3128
118	420	3111
119	422	3094
120	423	3078
121	425	3062
122	428	3058
123	430	3044
124	433	3034
125	435	3018
126	436	3003
127	439	2991
128	448	3027
129	450	3014
130	452	2998
131	453	2983
132	455	2971
133	458	2965
134	460	2953
135	462	2941
136	466	2935
137	467	2922
138	471	2922
139	477	2932
140	479	2918
141	480	2901
142	482	2890
143	483	2876
144	486	2866
145	488	2856
146	491	2851
147	493	2839
148	499	2853
149	509	2886
150	511	2876
151	513	2863
152	515	2855
153	519	2851
154	524	2861
155	526	2850
156	528	2839
157	533	2842
158	540	2859
159	542	2848
160	543	2832
161	545	2819
162	547	2809
163	549	2802
164	551	2793
165	553	2782
166	555	2772
167	557	2762
168	559	2753
169	562	2744
170	566	2748
171	569	2739
172	570	2728
173	572	2718
174	574	2707
175	576	2701
176	579	2694
177	581	2685
178	583	2674
179	585	2666
180	586	2655
181	588	2645
182	591	2638
183	593	2632
184	596	2625
185	597	2617
186	600	2611
187	602	2602
188	604	2594
189	606	2587
190	609	2580
191	611	2574
192	613	2565
193	614	2554
194	617	2548
195	619	2540
196	621	2532
197	623	2525
198	625	2519
199	629	2517
200	631	2510
201	633	2503
202	636	2498
203	639	2495
204	641	2488
205	643	2481
206	645	2472
207	647	2464
208	649	2457
209	652	2453
210	654	2447
211	656	2441
212	659	2435
213	660	2427
214	662	2418
215	664	2412
216	667	2407
217	669	2402
218	671	2395
219	673	2387
220	675	2381
221	677	2376
222	680	2370
223	683	2367
224	686	2363
225	688	2356
226	690	2350
227	691	2342
228	693	2336
229	696	2330
230	698	2324
231	699	2317
232	701	2310
233	703	2304
234	705	2297
235	707	2291
236	711	2289
237	713	2285
238	716	2279
239	717	2272
240	719	2264
241	720	2257
242	722	2251
243	725	2246
244	727	2241
245	728	2234
246	730	2227
247	732	2220
248	735	2217
249	738	2214
250	742	2216
251	747	2217
